group,n_nodes,run,failure_wave,failure_time,n_leaders_failed,n_orphans,qi_pre_failure,sr_pre_failure,qi_at_impact,sr_at_impact,qi_3cycles_after,sr_3cycles_after,actions_recluster_at_impact,actions_reallocate_at_impact,qi_recovery_delta
250_with_failures,250,16,1,300,4,76,0.991376,0.984,0.82493,0.674797,0.990217,0.98374,76,0,0.165287
250_with_failures,250,16,2,450,3,82,0.990215,0.98374,0.831397,0.646091,0.989529,0.983539,82,0,0.158132
250_with_failures,250,16,3,600,3,52,0.989528,0.983539,0.864656,0.766667,0.988868,0.983333,52,0,0.124212
250_with_failures,250,17,1,300,4,108,0.98037,0.948,0.754361,0.50813,0.978757,0.947154,108,0,0.224396
250_with_failures,250,17,2,450,4,55,0.978767,0.947154,0.81455,0.719008,0.982055,0.96281,55,0,0.167505
250_with_failures,250,17,3,600,4,64,0.98206,0.96281,0.804869,0.693277,0.986547,0.978992,64,0,0.181678
250_with_failures,250,18,1,300,4,68,0.994692,0.996,0.8349,0.719512,0.993902,0.995935,67,1,0.159002
250_with_failures,250,18,2,450,3,77,0.993901,0.995935,0.830012,0.679012,0.992771,0.995885,77,0,0.162759
250_with_failures,250,18,3,600,3,106,0.992969,0.995885,0.795466,0.554167,0.992356,0.995833,105,0,0.19689
250_with_failures,250,19,1,300,4,76,0.99074,0.984,0.796566,0.674797,0.989624,0.98374,76,0,0.193058
250_with_failures,250,19,2,450,3,54,0.989641,0.98374,0.839526,0.761317,0.9886,0.983539,54,0,0.149074
250_with_failures,250,19,3,600,3,68,0.988601,0.983539,0.820832,0.7,0.988189,0.983333,68,0,0.167357
250_with_failures,250,20,1,300,4,38,0.983262,0.96,0.853789,0.804878,0.982251,0.95935,38,0,0.128462
250_with_failures,250,20,2,450,4,63,0.982238,0.95935,0.820106,0.698347,0.9867,0.975207,62,1,0.166594
250_with_failures,250,20,3,600,4,55,0.986822,0.975207,0.82565,0.743697,0.985406,0.97479,54,0,0.159756
250_with_failures,250,21,1,300,4,70,0.995338,0.996,0.832327,0.711382,0.993786,0.995935,70,0,0.161459
250_with_failures,250,21,2,450,3,51,0.993784,0.995935,0.867893,0.786008,0.992706,0.995885,51,0,0.124813
250_with_failures,250,21,3,600,3,27,0.992658,0.995885,0.894417,0.883333,0.99358,1.0,27,0,0.099163
250_with_failures,250,22,1,300,4,66,0.99515,1.0,0.823206,0.731707,0.993866,1.0,66,0,0.17066
250_with_failures,250,22,2,450,4,104,0.993893,1.0,0.770057,0.570248,0.993528,1.0,104,0,0.223471
250_with_failures,250,22,3,600,4,93,0.993528,1.0,0.776672,0.609244,0.993243,1.0,92,0,0.216571
250_with_failures,250,23,1,300,4,68,0.991554,0.988,0.817087,0.711382,0.990295,0.987805,68,0,0.173208
250_with_failures,250,23,2,450,4,77,0.990395,0.987805,0.795702,0.669421,0.989731,0.987603,76,1,0.194029
250_with_failures,250,23,3,600,4,26,0.990483,0.987603,0.85193,0.878151,0.989472,0.987395,26,0,0.137542
250_with_failures,250,24,1,300,4,63,0.987729,0.972,0.824032,0.715447,0.98747,0.97561,63,0,0.163438
250_with_failures,250,24,2,450,4,62,0.986084,0.97561,0.823814,0.719008,0.987733,0.975207,62,0,0.163919
250_with_failures,250,24,3,600,3,45,0.987735,0.975207,0.855964,0.786611,0.986719,0.974895,45,0,0.130755
250_with_failures,250,25,1,300,4,54,0.993721,0.992,0.849368,0.772358,0.992404,0.99187,54,0,0.143036
250_with_failures,250,25,2,450,3,68,0.992405,0.99187,0.845528,0.711934,0.991057,0.99177,68,0,0.145529
250_with_failures,250,25,3,600,3,89,0.991058,0.99177,0.817813,0.620833,0.990972,0.991667,89,0,0.173159
250_with_failures,250,26,1,300,4,61,0.996861,1.0,0.839565,0.752033,0.99626,1.0,61,0,0.156695
250_with_failures,250,26,2,450,4,49,0.996258,1.0,0.844996,0.797521,0.995172,1.0,49,0,0.150176
250_with_failures,250,26,3,600,3,83,0.995157,1.0,0.819518,0.65272,0.994363,1.0,82,0,0.174845
250_with_failures,250,27,1,300,4,64,0.994798,0.996,0.82972,0.735772,0.99467,1.0,64,0,0.16495
250_with_failures,250,27,2,450,3,62,0.99466,1.0,0.850419,0.744856,0.994101,1.0,62,0,0.143682
250_with_failures,250,27,3,600,3,51,0.994312,1.0,0.862062,0.7875,0.9933,1.0,51,0,0.131238
250_with_failures,250,28,1,300,4,38,0.992856,0.992,0.869891,0.837398,0.991926,0.99187,38,0,0.122035
250_with_failures,250,28,2,450,4,68,0.991929,0.99187,0.826796,0.710744,0.99053,0.991736,68,0,0.163734
250_with_failures,250,28,3,600,3,78,0.990527,0.991736,0.829536,0.665272,0.989987,0.991632,78,0,0.160451
250_with_failures,250,29,1,300,4,65,0.994814,0.996,0.825022,0.731707,0.993584,0.995935,65,0,0.168562
250_with_failures,250,29,2,450,4,65,0.993772,0.995935,0.818472,0.727273,0.993433,0.995868,65,0,0.174961
250_with_failures,250,29,3,600,3,95,0.993436,0.995868,0.795276,0.598326,0.993214,0.995816,94,0,0.197938
250_with_failures,250,30,1,300,4,89,0.992387,0.988,0.792653,0.626016,0.99079,0.987805,89,0,0.198137
250_with_failures,250,30,2,450,4,105,0.99088,0.987805,0.76524,0.553719,0.98991,0.987603,105,0,0.22467
